============================================================
v2_20k 評估與校正 Pipeline - 步驟一: 重度運算與校正推論
============================================================

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
執行校正模式: BASELINE
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

----------------------------------------
處理目標任務: Y1
----------------------------------------
      [BASELINE | TEST2 | Layer 1 | Y3 | RF] Brier=0.1764 | Rel=0.0016 | Res=0.0025 | Unc=0.1774 | ECE=0.0166 | LogLoss=0.5833
      [BASELINE | TEST1 | Layer 2 | Y3 | SGD] Brier=0.1715 | Rel=0.0000 | Res=0.0056 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5225
      [BASELINE | TEST2 | Layer 2 | Y3 | SGD] Brier=0.1768 | Rel=0.0023 | Res=0.0028 | Unc=0.1774 | ECE=0.0296 | LogLoss=0.5704
      [BASELINE | TEST1 | Layer 2 | Y3 | MLP] Brier=0.1708 | Rel=0.0000 | Res=0.0063 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5206
      [BASELINE | TEST2 | Layer 2 | Y3 | MLP] Brier=0.1747 | Rel=0.0010 | Res=0.0037 | Unc=0.1774 | ECE=0.0165 | LogLoss=0.5462
      [BASELINE | TEST1 | Layer 2 | Y3 | LGB] Brier=0.1699 | Rel=0.0000 | Res=0.0072 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5174
      [BASELINE | TEST2 | Layer 2 | Y3 | LGB] Brier=0.1731 | Rel=0.0009 | Res=0.0052 | Unc=0.1774 | ECE=0.0089 | LogLoss=0.5404
      [BASELINE | TEST1 | Layer 2 | Y3 | LR] Brier=0.1716 | Rel=0.0000 | Res=0.0055 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5229
      [BASELINE | TEST2 | Layer 2 | Y3 | LR] Brier=0.1743 | Rel=0.0010 | Res=0.0041 | Unc=0.1774 | ECE=0.0189 | LogLoss=0.5321
      [BASELINE | TEST1 | Layer 2 | Y3 | RF] Brier=0.1683 | Rel=0.0000 | Res=0.0088 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5120
      [BASELINE | TEST2 | Layer 2 | Y3 | RF] Brier=0.1727 | Rel=0.0006 | Res=0.0053 | Unc=0.1774 | ECE=0.0159 | LogLoss=0.5432
      [BASELINE | TEST1 | Layer 3 | Y3 | SGD] Brier=0.1689 | Rel=0.0000 | Res=0.0082 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5135
      [BASELINE | TEST2 | Layer 3 | Y3 | SGD] Brier=0.1721 | Rel=0.0007 | Res=0.0060 | Unc=0.1774 | ECE=0.0229 | LogLoss=0.5224
      [BASELINE | TEST1 | Layer 3 | Y3 | MLP] Brier=0.1632 | Rel=0.0000 | Res=0.0139 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4929
      [BASELINE | TEST2 | Layer 3 | Y3 | MLP] Brier=0.1676 | Rel=0.0016 | Res=0.0114 | Unc=0.1774 | ECE=0.0156 | LogLoss=0.6150
